item_id	item_ttle	item_add1	item_add2
63819187	"J M Randall's Classic American Grill & T"	"4854  Longhill Rd"	"Williamsburg, VA 23188"
66919569	"The Fat Canary"	"410 W Duke Of Gloucester St"	"Williamsburg, VA 23185"
160839330	"Havana Grill"	"404 W Chatham St."	"Cary, NC 27511"
12523995	"Splash Seafood Bar & Grill"	"303  Locust St"	"Des Moines, IA 50309"
686165243	"Mayflower Seafood"	"303  Blowing Rock Blvd"	"Lenoir, NC 28645"
154377213	"Marsh Supermarkets"	"1172 N Main St"	"Franklin, IN 46131"
5510812	"Galleria Pizza"	"1339  Merrick Ave"	"Merrick, NY 11566"
44662646	"Kings Wok"	"36516  State Road 54"	"Zephyrhills, FL 33541"
697172528	"Joses Restaurante"	"3910  Division Ave S"	"Grand Rapids, MI 49548"
898066141	"Gonzalez Jose"	"2662  Division Ave S"	"Grand Rapids, MI 49507"
14478379	Vivio's	"4531 S Straits Hwy"	"Indian River, MI 49749"
68008737	"Outback Steakhouse"	"8245 A Dickerson Ln"	"Salisbury, MD 21804"
715740142	"Wahoo Seafood Grill"	"3833 NW 97th Blvd"	"Gainesville, FL 32606"
64436197	Burgerville	"217 W Main St"	"Battle Ground, WA"
90467084	"Fast Wok"	"7008 E W T Harris Blvd, Ste 3"	"Charlotte, NC 28215"
14977501	"Wok & Roll Chinese Fast Food"	"9252  Albemarle Rd"	"Charlotte, NC 28227"
55545183	"Super Wok"	"35  Main St"	"Hornell, NY 14843"
710141600	"Jammy Buggars"	"15625  Detroit Ave"	"Lakewood, OH 44107"
43671993	"Shamrock Inn Inc"	"8343 E Orange Ave"	"Floral City, FL 34436"
1808545	"The Original Blanco Cafe"	"419 N Saint Marys St"	"San Antonio, TX 78205"
41028484	"Panda Inn"	"2  Centerpointe Dr"	"La Palma, CA"
711621506	"Goblin Market"	"330  Dora Drawdy Way"	"Mount Dora, FL 32757"
709521008	"Uncle Juan's Mexican Restaurant"	"117 E Main St"	"Atlanta, TX 75551"
91940144	"Great Wall Restaurant"	"6325  Washington Blvd"	"Elkridge, MD 21075"
47249524	"Chop Stick Chinese Restaurant"	"533  Woodlawn Rd"	"Lincoln, IL 62656"
686386260	"Bistro 29"	"620  5th St"	"Santa Rosa, CA 95401"
709926271	"Pelican Seafood"	"6235 E Oak Island Dr"	"Oak Island, NC 28465"
704213497	"Seafood Unlimited USA Inc G & S Lobster"	"3034 NE 12th Ter"	"Fort Lauderdale, FL 33334"
704338377	Arby's	"930 N Riverside Dr"	"Espanola, NM 87532"
2815253	"Chets Seafood Restaurant"	"3601  Highway 90"	"Milton, FL 32571"
2815123	"Chet's Catering & Seafood Restaurant"	"3708 W Navy Blvd"	"Pensacola, FL 32507"
2855896	"China Garden Buffett"	"10063 S Us Highway 1"	"Port Saint Lucie, FL 34952"
702256324	"Heidi Brooklyn Deli"	"1091  Highway 133"	"Carbondale, CO 81623"
51736578	"Rose's On Reeds Lake"	"540  Lakeside Dr SE"	"Grand Rapids, MI 49506"
896450342	"Jugtown Cafe"	"239  White Oak St"	"Asheboro, NC 27203"
87189172	"Naples Pizza Pasta & Subs"	"1213 N Lee Hwy"	"Lexington, VA 24450"
87189212	"Frank's Pizza & Subs"	"511 E Nelson St"	"Lexington, VA 24450"
895559466	"Jillys West"	"179  Marble St"	"West Rutland, VT 05777"
897989002	"Pie Shack"	"416  Main St"	"West Rutland, VT 05777"
897994139	"Mary's Cafe"	"206  Main St"	"West Rutland, VT 05777"
714018788	"Good Food Drive Through"	"1101  Business Route 4"	"Center Rutland, VT 05736"
63420097	"Village Snackbar"	"389  West St"	"Rutland, VT 05701"
155196710	"Avellino Bakery & Pizza"	"15  Belden Rd"	"Rutland, VT 05701"
713811131	"Meals On Wheels"	"80  Belden Rd, Ste 13"	"Rutland, VT 05701"
710393746	"Potter Food Equipment Solutions"	"5  Pierpoint Ave"	"Rutland, VT 05701"
898065885	"Potter Food Equipment Solutions"	"5  Pierpoint Ave"	"Rutland, VT 05701"
63420077	"Office Bar & Grill"	"197  West St"	"Rutland, VT 05701"
157763869	"Patio Cafe and Grill"	"1901  Morris Ave"	"Union, NJ 07083"
889146039	"Domino's Pizza"	"1901  Morris Ave"	"Union, NJ"
895168254	"Manila Market"	"1923  Morris Ave"	"Union, NJ 07083"
54380881	"Casa Manila Philippine Cuisine"	"1921  Morris Ave"	"Union, NJ 07083"
2218816	"Burnet Barbeque Corp"	"1275A  Stuyvesant Ave"	"Union, NJ 07083"
54381806	"Bergen Bagel & Deli"	"1200  Stuyvesant Ave"	"Union, NJ 07083"
689832077	"Don Antonio"	"1252  Stuyvesant Ave"	"Union, NJ 07083"
54380904	"Joy Food House Chinese Restaurant"	"1298  Stuyvesant Ave"	"Union, NJ 07083"
895168252	"Union Barbecue Grill"	"1040  Stuyvesant Ave"	"Union, NJ 07083"
9228874	"Morris Thai Cuisine"	"1975  Morris Ave"	"Union, NJ 07083"
9885380	"Old Chickahominy House"	"1211  Jamestown Rd"	"Williamsburg, VA 23185"
683948635	"Bonefish Grill"	"5212 Monticello Avenue"	"Williamsburg, VA 23188"
