srch_id,item_id,item_title,item_add1,item_add2
1,1230,1 Chinese Restaurant,"900 E Jackson Blvd, Ste 3","Jonesborough, TN 37659"
2,1233,1 Chinese Take Out,931 N State Road 434,"Altamonte Springs, FL 32714"
3,3193,100 Percent Taquito,3245  Southwest Fwy,"Houston, TX 77027"
4,3218,100 South Chop House & Grille,100 S York St,"Elmhurst, IL 60126"
5,3499,101 Fish & Chips,36700  Cedar Blvd,"Newark, CA 94560"
6,3761,103 West,103 W Paces Ferry Rd NW,"Atlanta, GA 30305"
7,6872,16th Street Sports Bar & Grill,6522 N 16th St,"Phoenix, AZ 85016"
8,7197,17 East,17 E Main St,"Chillicothe, OH 45601"
9,16068,207 Sandwich Shop,416 N Elm St,"Pageland, SC 29728"
10,23143,2nd Floor Restaurant,116 W Rezanof Dr,"Kodiak, AK 99615"
11,37982,50th Street Caboose Restaurant & Gameroo,5025  50th St,"Lubbock, TX 79414"
12,39492,5th Street Diner,500  Central Ave,"Great Falls, MT 59401"
13,47546,8 01 Steak & Chop House,801  Grand Ave,"Des Moines, IA 50309"
14,49413,88th Street Pizza,2300 E 88th Ave,"Anchorage, AK 99507"
15,50714,South 94 Bistro,"3004 S Saint Peters Pkwy, Ste A","Saint Charles, MO 63303"
16,50787,94th Aero Squadron,8885  Balboa Ave,"San Diego, CA 92123"
17,56506,A & A Seafood,3126  High St,"Portsmouth, VA 23707"
18,76635,AW Family Restaurant,209  Main St,"Deer Lodge, MT 59722"
19,126542,A C Drive-In,601 E Main St,"Burley, ID 83318"
20,186302,A Taste of Thai,106 N Main St,"Hailey, ID 83333"
21,231776,Abacus Restaurant,4511  Mckinney Ave,"Dallas, TX 75205"
22,282388,Acapulco Mexican Restaurant,727 S Polk St,"Amarillo, TX 79101"
23,330336,Quality III Fire Protection Inc,1607 Todds Ln,"Wilmington, DE 19802"
24,371262,Addy's Dutch Cafe,17 E Coffee St,"Greenville, SC 29601"
25,381281,Vestal Central School District Administr,201  Main St,"Vestal, NY 13850"
26,387229,Subway,523 N Main St,"Adrian, MI 49221"
27,387494,Adrian's,3060 E Belmont Ave,"Fresno, CA 93701"
28,486629,Ahli Baba's Kabob Shop,163  Main St,"Burlington, VT 05401"
29,493265,Aimie's Dinner & Movies,190  Glen St,"Glens Falls, NY 12801"
30,551487,Albi's Gem Bar,220  6th St,"Wallace, ID 83873"
31,554620,Alcenia's Desserts & Preserves Shop,317 N Main St,"Memphis, TN 38103"
32,648855,Alley Cat Pizzeria,486  Chestnut St,"Manchester, NH 03101"
33,658425,Allied Funfood Supply,500 S Kentucky Ave,"Evansville, IN 47714"
34,693380,Alpha Delta Pizza,371  Elm St,"New Haven, CT 06511"
35,695072,Alpha Lanes & Restaurant,56  Po Box,"Alpha, IL 61413"
36,706619,Al's French Frys,1251  Williston Rd,"South Burlington, VT 05403"
37,708605,Al's Village Pizza,185 Central St.,"Franklin, NH 03235"
38,783748,American Flatbread At The Marble Works,137  Maple St,"Middlebury, VT 05753"
39,882054,Andale Burritos,453 SW Madison Ave,"Corvallis, OR 97333"
40,982695,Applebee's,200  Piercy Dr,"Lewisburg, WV"
41,983099,Applebee's,771 E Lewis And Clark Pkwy,"Clarksville, IN 47129"
42,983179,Applebee's,1640  Richmond Rd,"Williamsburg, VA 23185"
43,983654,Applebee's,117  Woods Ln,"Salem, IL"
44,984306,Applebee's,1181  Mae St,"Hummelstown, PA 17036"
45,1014903,Arby's,680 W Deuce Of Clubs,"Show Low, AZ 85901"
46,1014968,Arby's,420 5th Ave,"Sandpoint, ID"
47,1015101,Arby's,2731 Dorchester Square,"Cambridge, MD 21613"
48,1015386,Arby's,2300  Santa Clara Dr,"Santa Clara, UT 84765"
49,1016193,Arby's,225 S Indiana Ave,"Sellersburg, IN 47172"
50,1016328,Arby's,1400 N Morton St,"Franklin, IN 46131"
51,1016703,Arby's,26 Perkins Rd,"Clarion, PA 16214"
52,1016972,Arby's,706 Plaza Dr,"Chesterton, IN 46304"
53,1017008,Arby's,4825 Dixie Hwy,"Waterford, MI 48329"
54,1017220,Arby's,2330 E Moreland Blvd,"Waukesha, WI 53186"
